Name,Sector,Years of Operation
Freak’n Genius,Information,5 (2011-2016)
Freeletics,Arts Entertainment and Recreation,10 (2013-2023)
Frenzy,Retail Trade,4 (2015-2019)
Freshdesk,Information,12 (2010-2022)
Friend.ly,Information,3 (2010-2013)
Friendster,Information,12 (2002-2014)
Front Desk,Administrative and Support Services,6 (2012-2018)
Frontback,Information,3 (2013-2016)
Froyo,Information,4 (2012-2016)
FundersClub,Finance and Insurance,10 (2012-2022)
Fuze Network,Finance and Insurance,6 (2010-2016)
Gametime,Arts Entertainment and Recreation,9 (2013-2022)
Gawk Media,Information,6 (2010-2016)
GazeHawk,Professional Scientific and Technical Services,5 (2009-2014)
Geckoboard,Information,12 (2010-2022)
Genuity,Information,5 (1996-2001)
GeoCities,Information,11 (1994-2005)
Getaround,Transportation and Warehousing,11 (2011-2022)
GetGlue,Information,8 (2008-2016)
Gigya,Information,12 (2006-2018)
Gilt Taste,Retail Trade,5 (2011-2016)
Gimlet,Information,7 (2014-2021)
Ginger.io,Health Care,9 (2011-2020)
Gnip,Information,11 (2008-2019)
GoAnimate,Information,14 (2007-2021)
Gobble,Accommodation and Food Services,9 (2010-2019)
Goldbely,Retail Trade,7 (2012-2019)
Good Eggs,Retail Trade,11 (2011-2022)
Good Technology,Information,16 (1996-2012)
Gowalla,Information,5 (2007-2012)
Graze,Retail Trade,11 (2008-2019)
Greenhouse.io,Information,10 (2012-2022)
Grockit,Information,8 (2007-2015)
Groupon Now,Retail Trade,4 (2011-2015)
Grooveshark,Information,11 (2006-2017)
GroupMe,Information,5 (2010-2015)
Grubwithus,Accommodation and Food Services,5 (2010-2015)
Guitar Hero Live,Arts Entertainment and Recreation,4 (2015-2019)
Gusto,Administrative and Support Services,11 (2012-2023)
Hailo,Transportation and Warehousing,7 (2011-2018)
Handspring,Manufacturing,5 (1998-2003)
Happn,Information,9 (2014-2023)
Havenly,Retail Trade,9 (2014-2023)
Heap,Information,10 (2013-2023)
HealthSpot,Health Care,6 (2010-2016)
Hello,Manufacturing,5 (2012-2017)
HelloFresh Recipe,Accommodation and Food Services,8 (2012-2020)
Heyday,Retail Trade,5 (2018-2023)
HiGear,Transportation and Warehousing,2 (2011-2013)
Highfive,Information,8 (2012-2020)
Hipmunk,Administrative and Support Services,10 (2010-2020)
Hired,Administrative and Support Services,9 (2012-2021)
Hitpost,Information,4 (2009-2013)
HobbyDB,Retail Trade,8 (2014-2022)
Homejoy,Administrative and Support Services,4 (2012-2016)
Homer,Information,6 (2013-2019)
Homeslice,Real Estate and Rental and Leasing,4 (2015-2019)
HootSuite Media,Information,15 (2008-2023)
HopSkipDrive,Transportation and Warehousing,9 (2014-2023)
Hot Potato,Information,2 (2009-2011)
HotelTonight,Administrative and Support Services,11 (2010-2021)
Houseparty,Information,5 (2016-2021)
HowAboutWe,Information,8 (2010-2018)
Huddle,Information,12 (2006-2018)
Hulu Japan,Information,8 (2011-2019)
Humanoid,Information,5 (2012-2017)
Hush,Retail Trade,4 (2016-2020)
Hyperloop One,Transportation and Warehousing,8 (2014-2022)
I/O Docs,Information,4 (2011-2015)
Ibotta,Retail Trade,11 (2011-2022)
Iddiction,Information,3 (2011-2014)
Ideeli,Retail Trade,9 (2007-2016)
IFTTT,Information,12 (2010-2022)
Imercive,Information,5 (2010-2015)
Immersv,Professional Scientific and Technical Services,4 (2015-2019)
Import.io,Information,10 (2012-2022)
Improvonia,Arts Entertainment and Recreation,5 (2013-2018)
InBloom,Information,3 (2011-2014)
Incredibowl,Retail Trade,5 (2010-2015)
Indiegogo Life,Finance and Insurance,5 (2014-2019)
Inkling,Information,11 (2009-2020)
Instagram Live,Information,5 (2016-2021)
Instacart Express,Retail Trade,8 (2012-2020)
Instapaper,Information,12 (2008-2020)
Intent Media,Professional Scientific and Technical Services,10 (2008-2018)
Intercom,Information,12 (2011-2023)
Intuit QuickBase,Information,15 (1999-2014)
Invision,Information,12 (2011-2023)
Ipsy,Retail Trade,12 (2011-2023)
IRL,Information,5 (2018-2023)
Iroko,Arts Entertainment and Recreation,11 (2010-2021)
Isentium,Finance and Insurance,8 (2012-2020)
Ista,Retail Trade,5 (2013-2018)
Jawbone,Manufacturing,18 (1999-2017)
Jetpac,Information,5 (2011-2016)
Jibo,Manufacturing,6 (2012-2018)
Jive Software,Information,14 (2001-2015)
Jobr,Administrative and Support Services,5 (2014-2019)
Jolt,Information,6 (2014-2020)
Joyent,Information,13 (2004-2017)
Juicero,Manufacturing,4 (2013-2017)
Jukin Media,Information,10 (2011-2021)
JumpTime,Information,5 (2010-2015)
Juniper Square,Real Estate and Rental and Leasing,8 (2014-2022)
JustFab,Retail Trade,12 (2010-2022)
Karma,Retail Trade,6 (2012-2018)
Katerra,Construction,7 (2015-2022)
Keen IO,Information,8 (2011-2019)
Keybase,Information,7 (2014-2021)
Khan Academy Lite,Information,6 (2014-2020)
Kicksend,Information,6 (2011-2017)
Kik,Information,13 (2009-2022)
Kiko,Information,3 (2005-2008)
Kinnek,Retail Trade,8 (2012-2020)
Kippt,Information,5 (2012-2017)
Kiwi,Information,4 (2011-2015)
Klout,Information,9 (2008-2017)
Knewton,Information,12 (2008-2020)
Kno,Information,5 (2009-2014)
Koding,Information,8 (2011-2019)
Koji,Information,5 (2016-2021)
Kozmo.com,Retail Trade,4 (1998-2002)
KPCB Edge,Finance and Insurance,5 (2015-2020)
KweekWeek,Arts Entertainment and Recreation,5 (2012-2017)
Lanyrd,Information,7 (2010-2017)
Latergramme,Information,5 (2012-2017)
Layer,Information,6 (2013-2019)
Leap Transit,Transportation and Warehousing,3 (2013-2016)
LearnUp,Information,6 (2011-2017)
LendUp,Finance and Insurance,8 (2012-2020)
LendingClub,Finance and Insurance,15 (2006-2021)
LendLayer,Finance and Insurance,4 (2013-2017)
Liftopia,Arts Entertainment and Recreation,14 (2005-2019)
LightSail Energy,Manufacturing,8 (2008-2016)
Limbix,Health Care,6 (2016-2022)
LinkedIn Lite,Information,5 (2015-2020)
Lit Motors,Manufacturing,11 (2010-2021)
Livefyre,Information,9 (2007-2016)
LiveLoop,Information,5 (2010-2015)
LiveMint,Information,5 (2012-2017)
LiveScribe,Manufacturing,13 (2007-2020)
LiveSpace,Information,4 (2013-2017)
Loom,Information,7 (2011-2018)
Loom.ai,Information,5 (2016-2021)
Loop Commerce,Retail Trade,9 (2012-2021)
Lot18,Retail Trade,8 (2010-2018)
Lovely,Real Estate and Rental and Leasing,6 (2012-2018)
Loyal3,Finance and Insurance,10 (2008-2018)
Luxe,Transportation and Warehousing,5 (2014-2019)
Lyft Line,Transportation and Warehousing,6 (2013-2019)
Mailbox,Information,3 (2012-2015)
Maker Media,Information,14 (2005-2019)
Mandrill,Information,7 (2012-2019)
Maple,Accommodation and Food Services,5 (2014-2019)
Marissa Mayer’s Yahoo,Information,5 (2012-2017)
Markafoni,Retail Trade,10 (2008-2018)
Massdrop,Retail Trade,10 (2012-2022)
Matter.io,Information,5 (2013-2018)
Mattermark,Information,7 (2012-2019)
Maven,Health Care,5 (2015-2020)
Mayvenn,Retail Trade,9 (2013-2022)
Me.me,Information,4 (2015-2019)
Medicast,Health Care,5 (2013-2018)
Medium One,Information,6 (2014-2020)
Meetup WeWork,Information,4 (2019-2023)
Memebox,Retail Trade,9 (2012-2021)
Memolane,Information,3 (2010-2013)
Memrise,Information,12 (2010-2022)
Mention,Information,8 (2012-2020)
Mesh,Information,5 (2015-2020)
Meta AR,Manufacturing,5 (2018-2023)
Meteor,Information,9 (2011-2020)
Milk,Information,3 (2011-2014)
MindSumo,Information,10 (2011-2021)
Mint Songs,Arts Entertainment and Recreation,3 (2020-2023)
Mixpanel,Information,14 (2009-2023)
Mobi,Transportation and Warehousing,5 (2012-2017)
Mobli,Information,7 (2010-2017)
ModCloth,Retail Trade,15 (2002-2017)
Moment,Information,6 (2014-2020)
Mondo Robot,Professional Scientific and Technical Services,14 (2006-2020)
Monetate,Professional Scientific and Technical Services,13 (2008-2021)
Money360,Finance and Insurance,8 (2012-2020)
MongoHQ,Information,8 (2008-2016)
Monitor110,Finance and Insurance,3 (2005-2008)
Monstercat,Arts Entertainment and Recreation,12 (2011-2023)
Moo,Manufacturing,15 (2006-2021)
Moodstocks,Information,8 (2008-2016)
Moon Express,Transportation and Warehousing,11 (2010-2021)
Moped,Information,5 (2012-2017)
Mophie,Manufacturing,13 (2005-2018)
Movable Ink,Professional Scientific and Technical Services,12 (2010-2022)
MoveLoot,Retail Trade,4 (2013-2017)
Mozido,Finance and Insurance,9 (2008-2017)
Munchery,Accommodation and Food Services,8 (2010-2018)
Music.ly,Information,4 (2014-2018)
MyFitnessPal,Arts Entertainment and Recreation,14 (2005-2019)
MyMiniLife,Information,4 (2006-2010)
MySpace,Information,15 (2003-2018)
Nanosolar,Manufacturing,12 (2002-2014)
Nasty Gal,Retail Trade,11 (2006-2017)
Nebula,Information,6 (2018-2024)
Nestio,Real Estate and Rental and Leasing,9 (2011-2020)
NetBooks,Information,5 (2006-2011)
Netscape,Information,9 (1994-2003)
NewsTilt,Information,2 (2010-2012)
Nextbit,Manufacturing,4 (2013-2017)
NextCaller,Information,9 (2012-2021)
Nextdoor Local,Information,5 (2018-2023)
Nimble,Information,10 (2009-2019)
Ninja Metrics,Information,7 (2010-2017)
Noom Coach,Health Care,12 (2008-2020)
Nosh,Accommodation and Food Services,4 (2013-2017)
Notion AI,Information,5 (2018-2023)
Nuzzel,Information,7 (2012-2019)
ODesk,Administrative and Support Services,12 (2003-2015)
OfferUp Local,Retail Trade,6 (2015-2021)
Oink,Information,2 (2011-2013)
Olive,Health Care,10 (2012-2022)
Olo,Accommodation and Food Services,15 (2005-2020)
Omaze UK,Arts Entertainment and Recreation,6 (2015-2021)
Omnity,Information,6 (2015-2021)
Omnivis,Health Care,5 (2017-2022)
One Kings Lane,Retail Trade,10 (2009-2019)
One Month,Information,9 (2013-2022)
OneFineStay,Administrative and Support Services,10 (2010-2020)
OneLogin,Information,12 (2009-2021)
OneSignal,Information,8 (2014-2022)
OnSwipe,Information,6 (2011-2017)
OpenAirplane,Transportation and Warehousing,5 (2012-2017)
OpenPeak,Information,11 (2002-2013)
Opera Solutions,Professional Scientific and Technical Services,14 (2004-2018)
Operator,Retail Trade,5 (2015-2020)
Optimizely,Information,12 (2010-2022)
Orbeus,Information,6 (2012-2018)
Orchard,Real Estate and Rental and Leasing,6 (2017-2023)
OrderAhead,Accommodation and Food Services,6 (2011-2017)
Origami Labs,Information,5 (2011-2016)
Osmo,Information,7 (2013-2020)
Ouya,Manufacturing,4 (2012-2016)
Outbox,Transportation and Warehousing,3 (2012-2015)
Outdoor Voices,Retail Trade,9 (2013-2022)
Ouya,Manufacturing,4 (2012-2016)
OverDrive,Information,15 (1986-2001)
OwnLocal,Professional Scientific and Technical Services,10 (2010-2020)
Oyster,Information,4 (2012-2016)
Pager,Health Care,7 (2014-2021)
Pair,Information,3 (2012-2015)
PandoDaily,Information,7 (2012-2019)
Panorama Education,Information,10 (2012-2022)
Paperless Post,Information,13 (2008-2021)
Parse,Information,5 (2011-2016)
Path,Information,8 (2010-2018)
Patreon Events,Arts Entertainment and Recreation,5 (2017-2022)
Pawngo,Finance and Insurance,6 (2011-2017)
Pay By Touch,Finance and Insurance,5 (2002-2007)
Pebble,Manufacturing,8 (2012-2020)
Peek,Administrative and Support Services,10 (2012-2022)
Peerby,Retail Trade,9 (2012-2021)
Periscope,Information,5 (2015-2020)
PetCube,Retail Trade,8 (2012-2020)
Pets.com,Retail Trade,2 (1998-2000)
Photobucket,Information,15 (2003-2018)
Photonics,Manufacturing,7 (2014-2021)
Pi,Information,4 (2018-2022)
Piazza,Information,12 (2009-2021)
Picnik,Information,7 (2005-2012)
Pinger,Information,13 (2005-2018)
Pinterest UK,Information,8 (2012-2020)
Pipelinedeals,Information,14 (2006-2020)
Piston Cloud,Information,6 (2011-2017)
Pixate,Information,4 (2012-2016)
Pixelpipe,Information,5 (2008-2013)
Placements.io,Professional Scientific and Technical Services,7 (2014-2021)
Plancast,Information,5 (2009-2014)
PlanGrid,Construction,9 (2011-2020)
PlateJoy,Health Care,8 (2013-2021)
PlayHaven,Information,7 (2008-2015)
Plex,Information,15 (2008-2023)
Plum,Retail Trade,6 (2014-2020)
Plum District,Retail Trade,7 (2010-2017)
Plum Will,Finance and Insurance,5 (2015-2020)
Plume Labs,Manufacturing,7 (2014-2021)
Pocket,Information,11 (2007-2018)
Pockethunt,Real Estate and Rental and Leasing,4 (2016-2020)
Podster,Information,5 (2015-2020)
Polarr,Information,8 (2014-2022)
Poll Everywhere,Information,15 (2007-2022)
Polyvore,Retail Trade,12 (2007-2019)
PonoMusic,Arts Entertainment and Recreation,5 (2012-2017)
PopSugar Shop,Retail Trade,6 (2015-2021)
Portfolium,Information,7 (2013-2020)
Poshmark UK,Retail Trade,8 (2012-2020)
Postmates X,Transportation and Warehousing,5 (2018-2023)
PostRocket,Information,3 (2011-2014)
PoundPay,Finance and Insurance,4 (2009-2013)
PowerReviews,Information,13 (2005-2018)
Preact,Information,6 (2012-2018)
Predilytics,Professional Scientific and Technical Services,5 (2011-2016)
Pressly,Information,7 (2011-2018)
Presto,Accommodation and Food Services,5 (2015-2020)
Priceonomics,Information,10 (2012-2022)
Prismatic,Information,5 (2012-2017)
Pro.com,Construction,6 (2014-2020)
Product Hunt Games,Information,5 (2018-2023)
ProntoPiso,Real Estate and Rental and Leasing,6 (2017-2023)
ProPublica Data,Information,8 (2012-2020)
Pulse,Information,7 (2010-2017)
Punch’d,Information,3 (2011-2014)
Puppet Labs,Information,14 (2005-2019)
PureWow,Information,11 (2010-2021)
Push IO,Information,8 (2007-2015)
Quibb,Information,6 (2013-2019)
Quid,Information,12 (2008-2020)
Quirky,Manufacturing,10 (2009-2019)
Quixey,Information,8 (2009-2017)
QuizUp,Arts Entertainment and Recreation,7 (2013-2020)
Quora Credits,Information,5 (2014-2019)
Qwiki,Information,5 (2010-2015)
RadPad,Real Estate and Rental and Leasing,5 (2012-2017)
Raise,Retail Trade,9 (2013-2022)
Rap Genius,Information,11 (2009-2020)
Readability,Information,6 (2009-2015)
ReadyForZero,Finance and Insurance,7 (2010-2017)
RebelMail,Information,6 (2014-2020)
Reclip,Information,3 (2015-2018)
RecruitLoop,Administrative and Support Services,8 (2012-2020)
RedBeacon,Administrative and Support Services,7 (2008-2015)
Refresh,Information,5 (2011-2016)
Remix,Transportation and Warehousing,7 (2014-2021)
Rent the Runway UK,Retail Trade,6 (2015-2021)
RentJuice,Real Estate and Rental and Leasing,4 (2008-2012)
Replit Teams,Information,5 (2018-2023)
RescueTime,Information,15 (2006-2021)
RetailMeNot UK,Retail Trade,8 (2012-2020)
Retention Science,Professional Scientific and Technical Services,9 (2012-2021)
Rev,Administrative and Support Services,12 (2010-2022)
ReverbNation,Arts Entertainment and Recreation,15 (2006-2021)
Revolution Foods,Accommodation and Food Services,15 (2006-2021)
RethinkDB,Information,10 (2009-2019)
Rethink Robotics,Manufacturing,10 (2008-2018)
Retro,Information,5 (2014-2019)
Ridejoy,Transportation and Warehousing,3 (2011-2014)
Riffsy,Information,6 (2013-2019)
Rigetti Computing,Manufacturing,8 (2013-2021)
Ringly,Retail Trade,6 (2013-2019)
Ritual,Accommodation and Food Services,8 (2014-2022)
Rockmelt,Information,5 (2009-2014)
Rogue,Arts Entertainment and Recreation,6 (2015-2021)
Room 77,Administrative and Support Services,7 (2010-2017)
Roominate,Manufacturing,6 (2012-2018)
RoverPass,Administrative and Support Services,7 (2014-2021)
RunKeeper,Arts Entertainment and Recreation,12 (2008-2020)
RushCard,Finance and Insurance,15 (2003-2018)
RxRobots,Health Care,8 (2010-2018)
Sailthru,Professional Scientific and Technical Services,12 (2008-2020)
SaleMove,Professional Scientific and Technical Services,9 (2012-2021)
Samba TV,Information,12 (2008-2020)
Sampling Lab,Retail Trade,4 (2013-2017)
Say Media,Information,12 (2005-2017)
ScaleFactor,Professional Scientific and Technical Services,5 (2014-2019)
Scoop,Transportation and Warehousing,6 (2015-2021)
Screenhero,Information,5 (2012-2017)
Secret,Information,4 (2014-2018)
Seed,Finance and Insurance,5 (2012-2017)
Selltag,Retail Trade,3 (2013-2016)
SendGrid Labs,Information,8 (2015-2023)
Sense,Manufacturing,6 (2014-2020)
Sensible,Finance and Insurance,4 (2016-2020)
SetJam,Information,4 (2009-2013)
ShareThis,Information,13 (2007-2020)
Shelfari,Information,9 (2006-2015)
SherpaShare,Transportation and Warehousing,6 (2014-2020)
Shoobs,Arts Entertainment and Recreation,9 (2012-2021)
ShopKeep,Retail Trade,12 (2008-2020)
Shopkick,Retail Trade,11 (2009-2020)
ShopSavvy,Retail Trade,12 (2008-2020)
Shoptiques,Retail Trade,8 (2012-2020)
ShoreTel,Information,12 (1996-2008)
Shyp,Transportation and Warehousing,5 (2013-2018)
Sidecar,Transportation and Warehousing,6 (2012-2018)
Sidekick,Information,5 (2015-2020)
SigFig,Finance and Insurance,11 (2007-2018)
SilkRoad,Administrative and Support Services,14 (2003-2017)
Simple,Finance and Insurance,7 (2009-2016)
Singly,Information,5 (2011-2016)
Skillshare Classes,Information,8 (2015-2023)
Skully,Manufacturing,4 (2013-2017)
Skybox Imaging,Professional Scientific and Technical Services,10 (2009-2019)
Skype Qik,Information,3 (2014-2017)
Slack Fund,Finance and Insurance,5 (2015-2020)
Slice,Retail Trade,11 (2010-2021)
Slidely,Information,9 (2012-2021)
Slock.it,Information,5 (2015-2020)
SmartAsset,Finance and Insurance,11 (2012-2023)
Smartling,Professional Scientific and Technical Services,12 (2009-2021)
Snapchat Spectacles,Manufacturing,5 (2016-2021)
SnipSnap,Retail Trade,7 (2012-2019)
Snowball,Information,4 (2014-2018)
SoFi Social,Finance and Insurance,5 (2016-2021)
Songkick Detour,Arts Entertainment and Recreation,5 (2015-2020)
Songza,Information,10 (2007-2017)
Sosh,Arts Entertainment and Recreation,8 (2011-2019)
SoundCloud Go,Arts Entertainment and Recreation,6 (2016-2022)
SoundFocus,Information,5 (2012-2017)
Soundwave,Information,4 (2012-2016)
Spaces,Real Estate and Rental and Leasing,5 (2015-2020)
SpaFinder,Administrative and Support Services,15 (2001-2016)
Spark,Information,7 (2013-2020)
Spartan Radar,Manufacturing,5 (2018-2023)
Spectralux,Health Care,6 (2015-2021)
Sphero,Manufacturing,12 (2010-2022)
Spindle,Information,4 (2011-2015)
Spoke,Information,6 (2015-2021)
SpoonRocket,Accommodation and Food Services,4 (2013-2017)
Spotify Stations,Arts Entertainment and Recreation,4 (2019-2023)
Sprig,Accommodation and Food Services,4 (2013-2017)
Spring,Retail Trade,6 (2013-2019)
Sprinklr,Professional Scientific and Technical Services,12 (2009-2021)
Sprout,Information,8 (2008-2016)
Sprout Social Lite,Information,5 (2018-2023)
Square Cash,Finance and Insurance,7 (2013-2020)
Sublime,Information,5 (2015-2020)
Substack Local,Information,3 (2020-2023)
SumAll,Information,8 (2011-2019)
Sumo Logic,Information,12 (2010-2022)
Sunrun,Construction,15 (2007-2022)
Superhuman,Information,7 (2015-2022)
Supershuttle,Transportation and Warehousing,15 (1983-1998)
SurveyMonkey Contribute,Information,5 (2015-2020)
Swarm,Information,6 (2014-2020)
Swiftype,Information,8 (2012-2020)
Swrve,Information,11 (2010-2021)
Symphony Commerce,Retail Trade,7 (2011-2018)
Synack,Information,10 (2013-2023)
Tinder Social,Information,5 (2016-2021)
Taboola News,Information,8 (2015-2023)
Tagged,Information,15 (2004-2019)
Tailgate,Arts Entertainment and Recreation,5 (2015-2020)
Talech,Retail Trade,10 (2012-2022)
Tango,Information,11 (2009-2020)
TaskRabbit UK,Administrative and Support Services,6 (2015-2021)
Tastemade Travel,Arts Entertainment and Recreation,5 (2017-2022)
Tasty Labs,Information,5 (2009-2014)
Taulia,Finance and Insurance,13 (2009-2022)
Tavour,Retail Trade,9 (2013-2022)
Teamable,Administrative and Support Services,7 (2015-2022)
Teespring,Retail Trade,10 (2011-2021)
TellApart,Professional Scientific and Technical Services,9 (2009-2018)
Tellme,Information,12 (1999-2011)
Tempo,Arts Entertainment and Recreation,6 (2015-2021)
Tend,Health Care,4 (2019-2023)
TenderTree,Administrative and Support Services,6 (2012-2018)
Tenta,Information,5 (2015-2020)
Tessel,Manufacturing,6 (2013-2019)
The Grid,Information,6 (2014-2020)
