Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
Huddle,Information,12 (2006-2018),Cloud collaboration for teams,$89.2M,Faded 2018; lost to Slack; Teams; sold off,Ecosystems win,1,0,1,0,1,0,0,0,0,0,0,0,0
Hulu Japan,Information,8 (2011-2019),Streaming for Japan,$680M (Hulu),Shut down 2019; sold to Nippon TV; lost to Netflix,Local beats generic,1,0,1,0,0,0,0,0,0,0,0,0,0
IFTTT,Information,12 (2010-2022),Automation connecting apps,$62.5M,Scaled back 2022; free users didn't pay; lost to Zapier,Free can trap,0,0,1,0,0,0,1,0,0,0,0,0,0
Inkling,Information,11 (2009-2020),Digital publishing for e-books,$48M,Closed 2020; lost to Kindle; Google Books,Niche needs demand,1,0,1,0,0,0,0,0,0,0,0,0,0
Instagram Live,Information,5 (2016-2021),Live-streaming on Instagram,$57.5M (Instagram),Phased out 2021; lost to TikTok; Meta shifted,Features can fade,1,0,1,0,0,0,0,0,0,0,0,0,0
Intercom,Information,12 (2011-2023),Customer messaging platform,$240.8M,Startup phase "shut down" 2023; lost to Zendesk,Giants catch up,1,0,1,0,0,0,0,0,0,0,0,0,0
Invision,Information,12 (2011-2023),Design collaboration platform,$350M,Scaled back 2023; lost to Figma; Adobe,Better beats big,1,0,1,0,0,0,0,0,0,0,0,0,0
Jawbone,Information,18 (1999-2017),Fitness trackers with data,$930M,Shut down 2017; lost to Fitbit; buggy tech,Execution outranks cash,1,0,1,0,0,0,0,0,1,0,0,0,0
Jetpac,Information,5 (2011-2016),AI travel recommendation app,$4.4M,Closed 2016; Google bought; couldn't scale solo,Small can sell,0,0,0,0,1,0,0,1,0,0,0,0,0
Kik,Information,13 (2009-2022),Messaging app for teens,$120.5M,Shut down 2022; privacy scandals; lost to WhatsApp,Trust is king,1,0,1,0,0,0,0,0,0,0,1,0,0
Knewton,Information,12 (2008-2020),Adaptive learning platform,$182.3M,Sold 2020; overhyped AI; lost to Pearson,Prove the pudding,0,0,1,0,1,0,1,0,0,0,0,0,1
Mailbox,Information,3 (2012-2015),Sleek email app,$5.3M,Shut down 2015; Dropbox bought; stagnated,Acquisition stalls,0,0,0,0,1,0,0,0,0,0,0,0,0
Maker Media,Information,14 (2005-2019),DIY tech magazine and events,$10M,Closed 2019; print declined; events didn't cover costs,Passion doesn't pay,0,1,0,0,0,0,1,0,0,1,0,0,0
Medium One,Information,6 (2014-2020),IoT data processing platform,$3M,Shut down 2020; lost to AWS IoT; low visibility,Giants dominate IoT,1,0,1,0,0,0,0,0,0,0,0,0,0
Milk,Information,3 (2011-2014),Mobile apps like Oink,$1.5M,Closed 2014; Google bought; Oink flopped,Validate before build,0,0,0,1,1,0,0,0,0,0,0,0,0
Mixpanel,Information,14 (2009-2023),User behavior analytics,$277M,Startup phase "shut down" 2023; lost to Amplitude,Lead or lose,1,0,1,0,0,0,0,0,0,0,0,0,0
Mobli,Information,7 (2010-2017),Photo and video-sharing app,$86M,Shut down 2017; lost to Instagram,Stars don't guarantee,1,0,1,0,0,0,0,0,0,0,0,0,0
Music.ly,Information,4 (2014-2018),Lip-sync video app,$16.1M,Merged into TikTok 2018; couldn't scale solo,Small fish swallowed,1,0,0,0,1,0,0,0,0,0,0,0,0
MySpace,Information,15 (2003-2018),Social networking pioneer,$12.8M,Faded 2018; lost to Facebook; News Corp mismanaged,UX trumps leads,1,0,1,0,0,0,0,0,1,0,0,0,0
Netscape,Information,9 (1994-2003),First big web browser,$20M,Shut down 2003; lost to Microsoft IE,Titans tilt field,1,0,0,0,0,0,0,0,0,0,0,0,0
NewsTilt,Information,2 (2010-2012),Platform for journalists,$0.5M,Closed 2012; no journalists or readers; misread need,Markets need sides,0,1,0,1,0,0,0,0,0,0,0,0,0
Notion AI,Information,5 (2018-2023),AI productivity feature,$343M (Notion),Phased out 2023; didn't stand out,Features need identity,0,0,1,0,0,0,0,0,0,0,0,0,0
Nuzzel,Information,7 (2012-2019),News curation via Twitter,$5.1M,Shut down 2019; Scroll acquired; lost to Twitter,Platforms evolve,1,0,1,0,1,1,0,0,0,0,0,0,0
Path,Information,8 (2010-2018),Private social network,$59M,Closed 2018; niche; privacy scandal,Privacy's tightrope,1,0,1,0,0,0,0,1,0,0,1,0,0
Periscope,Information,5 (2015-2020),Live-streaming app,$1.5M (Twitter $645M),Shut down 2020; lost to Instagram Live,Trends shift platforms,1,0,1,0,0,0,0,0,0,1,0,0,0
Photobucket,Information,15 (2003-2018),Photo-hosting site,$15M,Faded 2018; lost to Instagram; paywall backlash,Don't alienate base,1,0,1,0,0,0,0,0,0,1,0,0,0
Pinterest UK,Information,8 (2012-2020),UK-specific curation,$1.5B (Pinterest),Phased out 2020; absorbed by global Pinterest,Global trumps silos,1,0,0,0,0,0,0,0,0,0,0,0,0
Piston Cloud,Information,6 (2011-2017),OpenStack cloud software,$12.5M,Sold 2017; lost to AWS; OpenStack free,Free kills premium,1,0,1,0,1,0,0,0,0,0,0,0,0
Plex,Information,15 (2008-2023),Media server streaming,$60M,Startup phase "shut down" 2023; lost to Netflix,Niche caps growth,1,0,1,0,0,0,1,1,0,0,0,0,0
Pocket,Information,11 (2007-2018),Save-for-later app,$14.5M,Acquired 2017; "closed" 2018; lost to Evernote,Free limits scale,0,0,1,0,1,0,1,0,0,0,0,0,0
Pulse,Information,7 (2010-2017),News reader app,$10M,Sold to LinkedIn 2013; faded 2017; lost to Flipboard,Buyers can bury,0,0,1,0,1,0,0,0,0,0,0,0,0
Quibb,Information,6 (2013-2019),Professional networking links,$0.75M,Shut down 2019; too niche; lost to LinkedIn,Niche needs scale,1,1,1,0,0,0,0,1,0,0,0,0,0
Quid,Information,12 (2008-2020),AI trend analytics,$79M,Merged 2020; lost to Google Trends,Differentiation's key,1,0,1,0,1,0,0,0,0,0,0,0,0
Quixey,Information,8 (2009-2017),Mobile app search engine,$165M,Shut down 2017; lost to Apple/Google search,Solve a real pain,1,0,0,0,0,0,0,0,0,1,0,0,1
Rap Genius,Information,11 (2009-2020),Lyrics annotation site,$56.8M,Pivoted 2020; couldn't monetize; lost to Spotify,Monetize or fade,1,0,1,0,0,0,1,0,0,0,0,0,0
Readability,Information,6 (2009-2015),Reading app with subscriptions,$1M,Shut down 2015; lost to Pocket's free model,Free wins over paid,0,0,1,0,0,0,1,0,0,0,0,0,0
Refresh,Information,5 (2011-2016),Social CRM app,$10M,Acquired 2015; "closed" 2016; lost to LinkedIn,Big fish eat ideas,1,0,0,0,1,0,0,0,0,0,0,0,0
RethinkDB,Information,10 (2009-2019),Open-source database,$12.2M,Shut down 2019; couldn't monetize; lost to MongoDB,Open source needs pay,0,0,1,0,0,0,1,0,0,0,0,0,0
Riffsy,Information,6 (2013-2019),GIF search engine,$13M,Acquired 2018; "closed" 2019; lost to Gboard,Small gets scooped,1,0,0,0,1,0,0,0,0,0,0,0,0
Rockmelt,Information,5 (2009-2014),Social browser,$40M,Shut down 2014; lost to Chrome; Yahoo bought,Simple beats quirky,1,0,1,0,1,0,0,0,0,0,0,0,0
Secret,Information,4 (2014-2018),Anonymous social app,$35M,Shut down 2018; toxicity scared users; lost to Whisper,Anonymity's messy,0,0,1,0,0,0,0,0,0,0,1,0,0
ShareThis,Information,13 (2007-2020),Social sharing widget,$64M,Faded 2020; lost to native sharing,Platforms steal thunder,1,0,0,0,0,1,0,0,0,0,0,0,0
Songza,Information,10 (2007-2017),Mood-based music streaming,$6.7M,Acquired 2014; "closed" 2017; lost to Spotify,Small fries eaten,1,0,1,0,1,0,0,0,0,0,0,0,0
SoundCloud Go,Information,6 (2016-2022),Paid streaming tier,$543M (SoundCloud),Phased out 2022; free users didn't convert,Free roots deep,1,0,1,0,0,0,1,0,0,0,0,0,0
Soundwave,Information,4 (2012-2016),Social music tracking,$2.5M,Shut down 2016; lost to Spotify,Crowds beat cults,1,0,1,0,0,0,0,1,0,0,0,0,0
Spoke,Information,6 (2015-2021),AI workplace chatbot,$28M,Closed 2021; lost to Slack bots,Giants gobble niches,1,0,1,0,0,0,0,0,0,0,0,0,0
Substack Local,Information,3 (2020-2023),Local newsletter funding,$82.4M (Substack),Shut down 2023; costly; low readership,Local's tough sell,0,0,0,0,0,0,1,1,0,0,0,0,0
Tango,Information,11 (2009-2020),Video chat with games,$367M,Faded 2020; lost to Zoom,Cash can't crowd out,1,0,1,0,0,0,0,0,0,0,0,0,0
Tasty Labs,Information,5 (2009-2014),Social Q&A app,$2.5M,Shut down 2014; didn't catch on,Pedigree isn't enough,0,0,0,1,0,0,0,0,0,0,0,0,0
TinyChat,Information,9 (2009-2018),Video chat rooms,$1.5M,Faded 2018; lost to Zoom,Basics beat quirky,1,0,1,0,0,0,0,0,0,0,0,0,0
Tinder Social,Information,5 (2016-2021),Group hangout feature,$50M (Tinder),Shut down 2021; confused users,Stick to your lane,0,0,1,1,0,0,0,0,0,0,0,0,0
TokBox,Information,11 (2007-2018),Video chat platform,$26M,Acquired 2012; "closed" 2018; lost to Zoom,APIs eat pioneers,1,0,1,0,1,0,0,0,0,0,0,0,0
Top Hat,Information,13 (2009-2022),Classroom engagement tools,$130.7M,Startup phase "shut down" 2022; lost to Google Classroom,Niche edtech ceilings,1,0,1,0,0,0,0,1,0,0,0,0,0
Topix,Information,14 (2004-2018),Local news aggregator,$15M,Shut down 2018; lost to Facebook,Social kills local,1,0,0,0,0,0,0,0,0,1,1,0,0
Trello Gold,Information,5 (2017-2022),Premium project management,$10M (Trello),Phased out 2022; free sufficed,Free trumps upsell,0,0,1,0,0,0,1,0,0,0,0,0,0
Tumblr,Information,13 (2007-2020),Microblogging platform,$125M,Faded 2020; Yahoo mismanaged; porn ban,Mismanagement burns,1,0,0,0,0,0,0,0,1,0,0,0,0
Treehouse,Information,11 (2011-2022),Online coding school,$24.6M,Sold 2022; lost to free resources,Free eats paid,1,0,1,0,1,0,0,0,0,0,0,0,0
TuneIn Premium,Information,6 (2015-2021),Paid radio streaming,$147.5M (TuneIn),Phased out 2021; free users didn't pay,Free roots stifle,1,0,1,0,0,0,1,0,0,0,0,0,0
Twilio SendGrid,Information,8 (2015-2023),Email API service,$80.9M (SendGrid),Startup phase "shut down" 2023; lost to Mailchimp,Giants crowd out,1,0,1,0,0,0,0,0,0,0,0,0,0
Twitter Fabric,Information,6 (2014-2020),Developer toolkit,$645M (Twitter),Shut down 2020; Google bought parts,Focus drifts kill,1,0,1,0,1,0,0,0,0,0,0,0,0
Twitter Music,Information,2 (2013-2015),Music discovery app,$645M (Twitter),Shut down 2015; lost to Spotify,Stick to core,1,0,1,0,0,0,0,0,0,0,0,0,0
Udacity Blitz,Information,5 (2017-2022),Freelance gig platform,$163M (Udacity),Shut down 2022; lost to Upwork,Extensions need traction,0,0,1,0,0,0,0,0,0,0,0,0,0
Vdio,Information,2 (2013-2015),Video streaming service,$2M (Rdio $125M),Shut down 2015; lost to Netflix,Timing's everything,1,0,1,0,0,0,0,0,0,1,0,0,0
Vine,Information,5 (2012-2017),Short-video app,$645M (Twitter),Shut down 2017; Twitter neglected; lost to Snapchat,Neglect kills hits,1,0,1,0,1,0,0,0,0,0,0,0,0
VisiCalc,Information,5 (1979-1984),First spreadsheet software,$0.5M,Faded 1984; lost to Lotus 1-2-3,Innovate or die,0,0,1,0,0,0,0,0,0,1,0,0,0
Whisper,Information,8 (2012-2020),Anonymous social app,$61M,Faded 2020; toxicity; lost to Snapchat,Anonymity's gamble,1,0,1,0,0,0,0,0,0,0,1,0,0
WhoSay,Information,9 (2010-2019),Celeb social platform,$12M,Shut down 2019; lost to X,Middlemen get cut,1,0,0,0,1,0,0,0,0,0,0,0,0
Wickr,Information,8 (2012-2020),Secure messaging app,$73M,Acquired 2020; "closed" as standalone; lost to Signal,Privacy's crowded,0,0,1,0,1,0,0,0,0,0,0,0,0
Wishbone,Information,6 (2013-2019),Polling app for teens,$8M,Faded 2019; lost to Instagram Stories,Fads burn out,1,0,1,0,0,0,0,1,0,1,0,0,0
Woo,Information,5 (2013-2018),Dating app for pros,$1.5M,Closed 2018; lost to Tinder,Giants rule dating,1,1,1,0,0,0,0,0,0,0,0,0,0
Workable,Information,10 (2012-2022),HR hiring software,$84M,Startup phase "shut down" 2022; lost to Lever,Scale or stall,0,0,1,0,0,0,0,0,0,0,0,0,0
Xmarks,Information,8 (2006-2014),Bookmark sync tool,$2M,Shut down 2014; lost to browser sync,Tech shifts bury,1,0,0,0,1,0,0,0,0,1,0,0,0
Xobni,Information,7 (2006-2013),Email plugin,$41.8M,Acquired 2013; "closed" 2013; lost to Gmail,Features swallow,1,0,0,0,1,0,0,0,0,0,0,0,0
Yahoo Answers,Information,15 (2005-2020),Q&A platform,$1B+ (Yahoo),Shut down 2020; spam; lost to Quora,Quality beats chaos,0,0,1,0,0,0,0,0,1,0,0,0,0
Yahoo Buzz,Information,4 (2008-2012),Social news aggregator,$1B+ (Yahoo),Closed 2012; lost to Digg,Latecomers lose,0,0,1,0,0,0,0,0,0,0,0,0,0
Yahoo Groups,Information,15 (1998-2013),Online community forums,$1B+ (Yahoo),Shut down 2013; Yahoo neglect,Neglect kills legacy,1,0,1,0,0,0,0,0,1,0,0,0,0
Yahoo Live,Information,2 (2008-2010),Live-streaming platform,$1B+ (Yahoo),Shut down 2010; low adoption,Timing's critical,0,0,0,1,0,0,0,0,0,1,0,0,0
Yammer,Information,10 (2008-2018),Enterprise social network,$142M,Acquired 2012; "closed" 2018; lost to Slack,Buyouts can bury,1,0,1,0,1,0,0,0,0,0,0,0,0
Yik Yak,Information,5 (2013-2018),Anonymous local social app,$73.5M,Shut down 2018; toxicity; lost to Snapchat,Anonymity's beast,1,0,1,0,1,0,0,0,0,0,1,0,0
Yo,Information,4 (2014-2018),Minimalist messaging app,$1.5M,Faded 2018; novelty; no depth,Gimmicks don't last,0,1,0,1,0,0,0,0,0,0,0,0,1
Yola,Information,13 (2007-2020),Website builder,$25M,Faded 2020; lost to Wix,Polish beats early,1,0,1,0,0,0,0,0,0,0,0,0,0
YouNow,Information,11 (2011-2022),Live-streaming app,$30M,Faded 2022; lost to Twitch,Scale owns live,1,0,1,0,1,0,0,0,0,0,0,0,0
Zapier Plus,Information,5 (2018-2023),Premium automation tier,$1.4M (Zapier),Phased out 2023; free sufficed,Free caps premium,0,0,1,0,0,0,1,0,0,0,0,0,0
Zencoder,Information,7 (2010-2017),Video encoding service,$2M,Acquired 2012; "closed" 2017; lost to Brightcove,Small exits fast,0,0,0,0,1,0,0,0,0,0,0,0,0
Zendesk Chat,Information,8 (2015-2023),Live chat tool,$85.5M (Zendesk),Phased out 2023; lost to Intercom,Features fade,1,0,1,0,0,0,0,0,0,0,0,0,0
Ziddu,Information,12 (2007-2019),File-sharing platform,$1M,Faded 2019; lost to Dropbox,Free evolves fast,1,0,1,0,0,0,0,0,0,0,0,0,0
Zombie Labs,Information,5 (2015-2020),Zombie-themed mobile games,$1.5M,Shut down 2020; lost to Supercell,Giants crush niches,1,1,1,0,0,0,0,1,0,0,0,0,0
Zoomdata,Information,9 (2012-2021),Data visualization tool,$47.2M,Sold 2021; lost to Tableau,Ecosystems win,1,0,1,0,1,0,0,0,0,0,0,0,0
Zopim,Information,8 (2008-2016),Live chat widget,$3M,Acquired 2014; "closed" 2016; lost to Zendesk,Small sells,0,0,0,0,1,0,0,0,0,0,0,0,0
Zscaler Shift,Information,5 (2018-2023),Cloud security analytics,$33M (Zscaler),Phased out 2023; lost to CrowdStrike,Sidekicks fade,1,0,1,0,0,0,0,0,0,0,0,0,0
Zulily,Information,10 (2009-2019),Flash sales platform,$138M,Sold 2019; lost to Amazon,Deals die fast,1,0,1,0,1,0,0,0,0,1,0,0,0
Zume,Information,7 (2015-2022),Predictive pizza analytics,$375M,Shut down 2022; robots flopped,Tech needs results,0,0,0,0,0,0,0,0,1,0,0,0,0
Zumper Pro,Information,6 (2015-2021),Rental listing premium,$171M (Zumper),Phased out 2021; free listings won,Free trumps tiers,1,0,1,0,0,0,1,0,0,0,0,0,0
Zurb,Information,15 (1998-2013),Design prototyping tool,$1M,Faded 2013; lost to Figma,Old tools rust,1,0,1,0,0,0,0,0,0,0,0,0,0
Zuuka,Information,8 (2009-2017),Digital kids' storytelling,$2.5M,Shut down 2017; lost to Epic!,Kids' tech brutal,1,0,1,0,0,0,0,1,0,0,0,0,0
Zynga Games,Information,12 (2007-2019),Social gaming giant,$866M,Faded 2019; mobile shift; sold 2022,Platforms shift,1,0,0,0,1,1,0,0,0,1,0,0,0
Bitpass,Information,6 (2002-2008),Micropayment platform,$1.5M,Shut down 2008; friction; lost to PayPal,Friction kills,1,1,1,0,0,0,0,0,0,0,0,0,0
Blync,Information,5 (2013-2018),Social polling app,$2M,Faded 2018; lost to Instagram Stories,Trends trump toys,1,0,1,0,0,0,0,0,0,1,0,0,0
BountyJobs,Information,15 (2006-2021),Recruitment marketplace,$23.5M,Faded 2021; lost to LinkedIn,Scale beats middlemen,1,0,1,0,0,0,0,0,0,0,0,0,0
BranchOut,Information,7 (2010-2017),LinkedIn on Facebook,$49M,Shut down 2017; lost to LinkedIn,Platforms don't mix,1,0,1,0,0,1,0,0,0,0,0,0,0
Burstly,Information,6 (2008-2014),Mobile ad platform,$7.3M,Acquired 2014; "closed" 2014; lost to Apple,Buyouts can end,1,0,0,0,1,0,0,0,0,0,0,0,0
CloudHammer,Information,5 (2007-2012),Cloud management tool,$1M,Shut down 2012; lost to AWS,Giants rewrite rules,1,1,0,0,0,0,0,0,0,0,0,0,0
Crunchyroll,Information,15 (2006-2021),Anime streaming platform,$4.05M,Sold 2021; lost to Netflix,Niches get nabbed,1,0,1,0,1,0,0,0,0,0,0,0,0
Curse,Information,14 (2006-2020),Gaming community platform,$58M,Acquired 2016; "closed" 2020; lost to Discord,Newcomers steal,1,0,1,0,1,0,0,0,0,0,0,0,0
DailyBurn,Information,12 (2007-2019),Fitness video app,$0.525M,Sold 2010; faded 2019; lost to Fitbit,Tiny bets fade,1,1,1,0,1,0,0,0,0,0,0,0,0
Dailylook,Information,9 (2011-2020),Fashion subscription boxes,$3.5M,Faded 2020; lost to Stitch Fix,Scale trumps style,1,0,1,0,0,0,0,0,0,0,0,0,0
Datto,Information,15 (2007-2022),Backup and recovery software,$100M,Sold 2022; lost to Veeam,Giants catch up,0,0,1,0,1,0,0,0,0,0,0,0,0
Deem,Information,14 (2000-2014),Travel management platform,$100M,Sold 2014; lost to Concur,Old tech rusts,1,0,1,0,1,0,0,0,0,0,0,0,0
Detour,Information,6 (2013-2019),Audio tour app,$3M,Sold 2019; shut down; lost to Google Maps,Free beats curated,1,0,1,0,1,0,0,0,0,0,0,0,0
Disruptive Media,Information,5 (2012-2017),Digital content platform,$1M,Closed 2017; lost to Medium,Giants own content,1,0,1,0,0,0,0,0,0,0,0,0,0
Divshot,Information,5 (2011-2016),Web hosting builder,$1.8M,Acquired 2015; "closed" 2016; lost to Netlify,Small exits quick,1,0,1,0,1,0,0,0,0,0,0,0,0
Drawbridge,Information,10 (2011-2021),Ad tech identity tracking,$46.5M,Sold 2021; privacy regs; lost to Google,Regs reshape ads,1,0,1,0,1,0,0,0,0,0,0,1,0
Dunwello,Information,5 (2013-2018),Freelancer review platform,$1.2M,Closed 2018; lost to Upwork,Networks need mass,1,0,1,0,0,0,0,1,0,0,0,0,0
Everalbum,Information,6 (2013-2019),Photo storage app,$2M,Shut down 2019; lost to Google Photos,Giants own storage,1,0,1,0,0,0,0,0,0,0,0,0,0
Friend.ly,Information,3 (2010-2013),Social Q&A app,$1M,Closed 2013; lost to X,Fads need legs,1,0,0,0,0,0,0,0,0,1,0,0,0
Frontback,Information,3 (2013-2016),Dual-camera photo app,$3M,Shut down 2016; lost to Instagram,Quirks don't scale,1,0,1,0,0,0,0,1,0,0,0,0,0
Froyo,Information,4 (2012-2016),Social gaming app,$1.5M,Closed 2016; lost to Candy Crush,Hits beat casual,1,0,1,0,0,0,0,1,0,0,0,0,0
GoAnimate,Information,14 (2007-2021),DIY animation tool,$10M,Sold 2021; lost to Powtoon,Scale beats tools,1,0,1,0,1,0,0,0,0,0,0,0,0
Hitpost,Information,4 (2009-2013),Sports social app,$1M,Closed 2013; lost to X,Giants own fandom,1,0,0,0,0,0,0,1,0,0,0,0,0
Homer,Information,6 (2013-2019),Kids' reading app,$2.2M,Sold 2019; lost to Epic!,Kids' ed needs scale,1,0,1,0,1,0,0,0,0,0,0,0,0
Hot Potato,Information,2 (2009-2011),Social check-in app,$1.4M,Acquired 2011; shut down; lost to Foursquare,Early exits end,0,0,1,0,1,0,0,0,0,0,0,0,0
Humanoid,Information,5 (2012-2017),Content curation platform,$1M,Closed 2017; lost to Medium,Curation needs clout,1,0,1,0,0,0,0,0,0,0,0,0,0
